name,year,vote_average,page_url,image_url,genres,director,actors,description
Bates Motel,2013.0,8.061,https://www.themoviedb.org/tv/46786,https://image.tmdb.org/t/p/w500/xXKcfZE7ulYxgjjYv51s0zDG69s.jpg,"Drama, Crime, Mystery","Anthony Cipriano, Carlton Cuse, Kerry Ehrin","Vera Farmiga, Freddie Highmore, Max Thieriot, Olivia Cooke, Nestor Carbonell","A ""contemporary prequel"" to the 1960 film Psycho, depicting the life of Norman Bates and his mother Norma prior to the events portrayed in Hitchcock's film, albeit in a different fictional town and in a modern setting. The series begins after the death of Norma's husband, when she purchases a motel located in a coastal Oregon town so she and Norman can start a new life."
Narcos,2015.0,8.06,https://www.themoviedb.org/tv/63351,https://image.tmdb.org/t/p/w500/rTmal9fDbwh5F0waol2hq35U4ah.jpg,"Crime, Drama","Chris Brancato, Doug Miro, Carlo Bernard","Pedro Pascal, Matias Varela, Damián Alcázar, Francisco Denis, Alberto Ammann",A gritty chronicle of the war against Colombia's infamously violent and powerful drug cartels.
The Grim Adventures of Billy and Mandy,2001.0,8.06,https://www.themoviedb.org/tv/897,https://image.tmdb.org/t/p/w500/kbFIKt6NGppNr7OOn288A8gBObs.jpg,"Animation, Comedy, Kids",Maxwell Atoms,"Greg Eagles, Richard Steven Horvitz, Grey DeLisle, Vanessa Marshall","The exploits of the Grim Reaper, who has been forced into being the best friend of two children. A spin-off of the show Grim & Evil."
Digimon: Digital Monsters,1999.0,8.058,https://www.themoviedb.org/tv/31654,https://image.tmdb.org/t/p/w500/vFJAiBNUlzEVa54mXgHGumr1z1s.jpg,"Animation, Action & Adventure, Sci-Fi & Fantasy",Not specified,"Reiko Kiuchi, Megumi Urawa, Rio Natsuki, Hiroaki Hirata, Romi Park","While at summer camp, seven kids come across seven Digivices and are transported to a strange digital world. In this new world they make friends with creatures that call themselves Digimon who were born to defend their world from various evil forces."
A Woman Scorned,2020.0,8.058,https://www.themoviedb.org/tv/110562,https://image.tmdb.org/t/p/w500/i4dD4K0udXVosxOa7wBXpkCKgP1.jpg,Drama,Not specified,"Cansu Dere, Caner Cindoruk, Melis Sezen, Eren Vurdem, Alp Akar","Asya is a successful doctor and she has a perfect life with her husband and her son. But after finding a blonde hair on her husband's scarf, everything changes and she discovers her husband's extramarital affair."
S.W.A.T.,2017.0,8.056,https://www.themoviedb.org/tv/71790,https://image.tmdb.org/t/p/w500/ttzrYMdsKWR8PTRLw7uo4noqaOJ.jpg,"Crime, Action & Adventure, Drama","Aaron Rahsaan Thomas, Shawn Ryan","Shemar Moore, Jay Harrington, David Lim, Patrick St. Esprit, Anna Enger Ritch","A Los Angeles S.W.A.T. sergeant is assigned to lead a highly skilled unit in the community where he grew up. Torn between loyalty to the streets, where the cops are sometimes the enemy, and allegiance to his brothers in blue, he strategically straddles the two worlds."
The Walking Dead: Daryl Dixon,2023.0,8.055,https://www.themoviedb.org/tv/211684,https://image.tmdb.org/t/p/w500/sP5QdW9FN18XWcA4ROz3MPAQBTx.jpg,"Sci-Fi & Fantasy, Action & Adventure, Drama",David Zabel,"Norman Reedus, Melissa McBride, Eduardo Noriega, Óscar Jaenada, Alexandra Masangkay","Daryl washes ashore in France and struggles to piece together how he got there and why. The series tracks his journey across a broken but resilient France as he hopes to find a way back home. As he makes the journey, though, the connections he forms along the way complicate his ultimate plan."
Mirzapur,2018.0,8.052,https://www.themoviedb.org/tv/84105,https://image.tmdb.org/t/p/w500/p0qM8hhlMF5DuxHBzl2EZR6TehX.jpg,"Crime, Action & Adventure, Drama","Puneet Krishna, Vineet Krishnan, Karan Anshuman","Ali Fazal, Pankaj Tripathi, Shweta Tripathi Sharma, Rasika Dugal, Harshita Gaur","The iron-fisted Akhandanand Tripathi is a millionaire carpet exporter and the mafia don of Mirzapur. His son, Munna, is an unworthy, power-hungry heir who will stop at nothing to inherit his father's legacy. An incident at a wedding procession forces him to cross paths with Ramakant Pandit, an upstanding lawyer, and his sons, Guddu and Bablu. It snowballs into a game of ambition, power and greed that threatens the fabric of this lawless city."
Young Sheldon,2017.0,8.05,https://www.themoviedb.org/tv/71728,https://image.tmdb.org/t/p/w500/kidkbZRBGbsEIrX7pODRSKi9ipl.jpg,"Comedy, Family, Drama","Chuck Lorre, Steven Molaro","Iain Armitage, Zoe Perry, Lance Barber, Montana Jordan, Raegan Revord","The early life of child genius Sheldon Cooper, later seen in The Big Bang Theory."
Superman & Lois,2021.0,8.049,https://www.themoviedb.org/tv/95057,https://image.tmdb.org/t/p/w500/vlv1gn98GqMnKHLSh0dNciqGfBl.jpg,"Drama, Sci-Fi & Fantasy","Greg Berlanti, Todd Helbing","Tyler Hoechlin, Elizabeth Tulloch, Alex Garfin, Michael Bishop","After years of facing megalomaniacal supervillains, monsters wreaking havoc on Metropolis, and alien invaders intent on wiping out the human race, The Man of Steel aka Clark Kent and Lois Lane come face to face with one of their greatest challenges ever: dealing with all the stress, pressures and complexities that come with being working parents in today's society."
