,name,year,vote_average,page_url,image_url,genres,director,actors,description
22,Empress Ki,2013,7.363,https://www.themoviedb.org/tv/61148,https://image.tmdb.org/t/p/original/cH9PMmBkhtVMlCdi8fgvMqekNKi.jpg,"Drama,War&Politics",Han Hee,"Ha Ji-won, Ju Jin-mo, Ji Chang-wook, Jin Yi-han, Baek Jin-hee","A woman born in Korea navigates her way through love, war, politics and national loyalties to become a powerful empress in China's Yuan dynasty."
23,Basilisk,2005,7.367,https://www.themoviedb.org/tv/9410,https://image.tmdb.org/t/p/original/oqLJUgkLjL7FK3NdSpnG7NZHPva.jpg,"Sci-Fi&Fantasy,Action&Adventure,War&Politics,Animation",Unknown,"Inori Minase, Reina Ueda, Tasuku Hatanaka, Yui Horie, Takuya Kirimoto","The story takes place in the year 1614. Two ninja clans, Tsubagakure of the Iga and Manjidani of Kouga, battle each other to determine which grandson of Tokugawa Ieyasu will become the next shogun. The deadly competition between 10 elite ninja from each clan unleashes a centuries-old hatred that threatens to destroy all hope for peace between them."
24,Valley of the Wolves: Ambush,2007,6.297,https://www.themoviedb.org/tv/49071,https://image.tmdb.org/t/p/original/wDWkjobSJm8I5r2ctSPtneUjHxT.jpg,"Crime,Drama,Action&Adventure,War&Politics",Raci Şaşmaz,"Necati Şaşmaz, Erhan Ufak, Yılmaz Meydaneri, Nevin Efe, Ayla Algan","A continuation series of Osman Sinav's The Wolves Of The Valley. This produce focuses on politics, National Security and Regional Middle East problems. The Wolves of The Valley: Ambush serie also attracts attention by two film; The Wolves of The Valley: Iraq and The Wolves of The Valley: Palestine."
25,Tour of Duty,1987,8.0,https://www.themoviedb.org/tv/11095,https://image.tmdb.org/t/p/original/uVH3fzDl5vqYolREnppV4Os45gd.jpg,"Drama,Action&Adventure,War&Politics","L. Travis Clark, Steve Duncan","Terence Knox, Stephen Caffrey, Miguel A. Núñez Jr., Tony Becker, Stan Foster",The trials of a U.S. Army platoon serving in the field during the Vietnam War.
27,Payitaht: Abdulhamid,2017,7.8,https://www.themoviedb.org/tv/70788,https://image.tmdb.org/t/p/original/fmaWiokhUVDsVkCfoWaQEDFZFFP.jpg,"Drama,Action&Adventure,War&Politics",Serdar Akar,"Bülent İnal, Duygu Gürcan, Hakan Boyav, Bahadır Yenişehirlioğlu, Taner Ertürkler",The fight of Abdülhamid II to keep the Ottoman Empire and Caliphate alive.
28,Mobile Suit Gundam ZZ,1986,7.411,https://www.themoviedb.org/tv/5660,https://image.tmdb.org/t/p/original/u7GMUFdfljplCbySERldRUReP6P.jpg,"Drama,Action&Adventure,Comedy,Sci-Fi&Fantasy,Animation,War&Politics",Unknown,"Kazuki Yao, Hirotaka Suzuoki, Masami Kikuchi, Naoko Matsui, Eriko Hara","The year is Universal Century 0088. Directly after the end of the  Gryps War, Haman Karn and her army of Zeon remnants on the asteroid Axis  begin their quest of reviving the lost empire of the Zabi's, and  proclaim themselves as the Neo-Zeon. With the Earth Federation as  hapless as ever, only the Anti-Earth Union Group (AEUG) is able oppose  the plans of Neo-Zeon. In need of all the help it can get after being  decimated in the previous war and losing many of its key members, the  AEUG ship Argama enlists the aid of a young junk collector from the Side  1 colony of Shangri-La named Judau Ashta to pilot its newest mobile  suit, the ZZ Gundam."
29,Mobile Suit Gundam Wing,1995,7.847,https://www.themoviedb.org/tv/21730,https://image.tmdb.org/t/p/original/ggHmrZpipHfdEqaGQbv4JrWv0f6.jpg,"Sci-Fi&Fantasy,Action&Adventure,War&Politics,Animation",Unknown,"Hikaru Midorikawa, Akiko Yajima, Toshihiko Seki, Shigeru Nakahara, Ai Orikasa","After Colony (A.C.) 195. Mankind has moved into space. Thousands of people live on giant orbiting space colonies called ""Sides."" However, the Earth Government, which rules the colonies, is unjust and cruel. A group of revolutionaries builds five robotic weapons called Gundams and plans to send them to Earth to begin their fight for independence. Piloted by five young men, these Gundams carry the hopes and dreams of freedom of the colonists with them as they descend to Earth to begin Operation Meteor!"
30,Gunbuster,1988,7.7,https://www.themoviedb.org/tv/66931,https://image.tmdb.org/t/p/original/4WzCDZT7G2QMvF8JxxlYTG85hSp.jpg,"Sci-Fi&Fantasy,Animation,War&Politics,Action&Adventure",Unknown,"Maaya Sakamoto, Mitsuo Iwata, Miyuki Sawashiro, Yukari Fukui, Hiroki Touchi","In the near future, humanity has taken its first steps towards journeying into the far reaches of the galaxy. Upon doing so they discover a huge race of insectoid aliens known as ""Space Monsters."" These aliens seem dedicated to the eradication of mankind as they near closer and closer to discovering Earth. In response, humanity develops giant fighting robots piloted by hand-picked youth from around the world. Shortly after the discovery of the aliens, Noriko Takaya, the daughter of a famous deceased space captain, enters a training school despite her questionable talents as a pilot. There, she meets her polar opposite, the beautiful and talented Kazumi Amano, and is unexpectedly made to work together with her as they attempt to overcome the trauma of war as well as their own emotions."
31,The Young Turks,Unknown,6.1,https://www.themoviedb.org/tv/40619,https://image.tmdb.org/t/p/original/zTQaglWNTPn4fWoE2r7bORH0i2F.jpg,"News,Talk,War&Politics","Cenk Uygur, Ben Mankiewicz","Cenk Uygur, Ana Kasparian, John Iadarola",Online American liberal/progressive political and social commentary program hosted by Cenk Uygur and Ana Kasparian
32,Scarlet Heart: Ryeo,2016,8.516,https://www.themoviedb.org/tv/66433,https://image.tmdb.org/t/p/original/pjdPGHqUe60ZGQJR1TItVNaV4it.jpg,"Sci-Fi&Fantasy,Drama,War&Politics",Tong Hua,"IU, Lee Joon-gi, Kang Ha-neul, Hong Jong-hyun, Baekhyun",A story of a 25-year-old Go Hajin who is transported back in time to the Goryeo Dynasty. She then wakes up in the body of Lady Hae Soo and finds herself amongst the ruling princes of the Wang Family.
33,Söz,2017,6.643,https://www.themoviedb.org/tv/71096,https://image.tmdb.org/t/p/original/orUokYSO7obeN8T1AhgbMNHb4FB.jpg,"Drama,Action&Adventure,War&Politics",Unknown,"Tolga Sarıtaş, Deniz Baysal, Nihat Altınkaya, Eren Vurdem, Burak Sevinç","Yavuz Karasu, a well-trained Turkish soldier, is in Istanbul with his fiance where a terrorist operation takes place. Dr. Bahar, who is not a surgeon, tries to save his fiance. After this incident, Yavuz goes back to Karabayir and Bahar follows him all the way to give him something that belongs to him. Another incident happens and he is chosen to be the commander of a team whose mission is to catch a terrorist and protect Karabiyir and their country Turkey. The whole team is solid, consistent, and willing to sacrifice their lives for the sake of their country."
34,Saga of Tanya the Evil,2017,8.223,https://www.themoviedb.org/tv/69346,https://image.tmdb.org/t/p/original/5nwiHomKZBBF9DLrolfZapi3fDm.jpg,"Sci-Fi&Fantasy,Drama,Animation,War&Politics",Unknown,"Aoi Yuuki, Saori Hayami, Shin-ichiro Miki, Tessyo Genda, Hochu Otsuka","On the front lines of the war, Tanya Degurechaff, blond hair, blue eyes, and porcelain white skin, commands her squad with lisping voice. Actually, she is one of Japan's most elite salary men, reborn as a little girl into a world of magical warfare after angering a mysterious being who calls himself God."
35,Firing Line with Margaret Hoover,2018,7.5,https://www.themoviedb.org/tv/80715,https://image.tmdb.org/t/p/original/lIyK5ZRvZui0uLCHJnjL2oIZENn.jpg,"Talk,War&Politics",Unknown,Margaret Hoover,"Join author, activist and commentator Margaret Hoover for a public affairs talk show that delivers a civil and engaging contest of ideas among the brightest minds and voices from across the ideological spectrum."
36,Das Boot,2018,6.9,https://www.themoviedb.org/tv/83936,https://image.tmdb.org/t/p/original/pIWOJV7NAfJJ7B9ocV66zT2X5pu.jpg,"Drama,War&Politics","Tony Saint, Johannes W. Betz","Franz Dinda, Pierre Kiwitt, Anna Schudt, Ernst Stötzner, Konstantin Gries",An inexperienced U-boat crew has to survive a secret mission and a young German woman is torn between loyalty for her home country and the French resistance in the WWII drama.
37,Super Dimension Fortress Macross,1982,7.824,https://www.themoviedb.org/tv/21734,https://image.tmdb.org/t/p/original/15JJd47Wy6enQS3roKSdK1ouce7.jpg,"Sci-Fi&Fantasy,Action&Adventure,War&Politics,Animation",Unknown,"Arihiro Hase, Mari Iijima, Mika Doi, Akira Kamiya, Eiji Kanie",After a mysterious spaceship crashes on Earth a fleet of spaceships belonging to a race of aliens known as the Zentradi descend upon Earth sparking an intergalactic war.
39,Mobile Fighter G Gundam,1994,7.308,https://www.themoviedb.org/tv/30093,https://image.tmdb.org/t/p/original/iuA29rs5TCFED8qVcEjJdn9YJKr.jpg,"Sci-Fi&Fantasy,Action&Adventure,War&Politics,Animation",Unknown,"Tomokazu Seki, Yuri Amano, Hochu Otsuka, Kappei Yamaguchi, Takumi Yamazaki","In the Year F.C. (Future Century) 60, much of mankind inhabits space colonies which orbit the Earth. Dominance over the colonies is decided once every four years by a large tournament in which each nation sends a single representative to fight the others with a giant robot called a Gundam. Domon Kashuu is selected to represent Neo-Japan in one of these tournaments, but he fights less to ensure his nation's victory than to find his brother, who has been blamed for the deaths of Domon's parents and the disappearance of a very dangerous weapon, the Devil Gundam (Dark Gundam)."
40,For All Mankind,2019,7.699,https://www.themoviedb.org/tv/87917,https://image.tmdb.org/t/p/original/mNXT1QjRCEasXGH3rHCTQm0A0Su.jpg,"Sci-Fi&Fantasy,Drama,War&Politics","Ronald D. Moore, Matt Wolpert, Ben Nedivi","Joel Kinnaman, Toby Kebbell, Krys Marshall, Edi Gathegi, Cynthy Wu","Explore an aspirational world where NASA and the space program remained a priority and a focal point of our hopes and dreams as told through the lives of NASA astronauts, engineers, and their families."
41,Shōgun,2024,8.453,https://www.themoviedb.org/tv/126308,https://image.tmdb.org/t/p/original/7O4iVfOMQmdCSxhOg1WnzG1AgYT.jpg,"Drama,War&Politics","Rachel Kondo, Justin Marks","Hiroyuki Sanada, Cosmo Jarvis, Anna Sawai, Tadanobu Asano, Takehiro Hira","In Japan in the year 1600, at the dawn of a century-defining civil war, Lord Yoshii Toranaga is fighting for his life as his enemies on the Council of Regents unite against him, when a mysterious European ship is found marooned in a nearby fishing village."
42,Fauda,2015,7.5,https://www.themoviedb.org/tv/69557,https://image.tmdb.org/t/p/original/j8RWvUgEEweL3BCOLCU4s7SFBmv.jpg,"Drama,Action&Adventure,War&Politics","Avi Issacharoff, Lior Raz","Lior Raz, Netta Garti, Doron Ben-David, Rona-Lee Shimon, Itzik Cohen","A top Israeli agent comes out of retirement to hunt for a Palestinian militant he thought he'd killed, setting a chaotic chain of events into motion."
43,Legend of the Galactic Heroes,1988,8.7,https://www.themoviedb.org/tv/27660,https://image.tmdb.org/t/p/original/j6amUPH88lc7cJf54MKZCf4a9NA.jpg,"Sci-Fi&Fantasy,Drama,Animation,War&Politics",Unknown,"Kei Tomiyama, Ryo Horikawa, Kazuhiko Inoue, Yoshiko Sakakibara, Masashi Hironaka","War rages between the Galactic Empire and the Free Planets Alliance. With two new brilliant young leaders at the helm, anything can happen in this military space opera."
