,name,year,vote_average,page_url,image_url,genres,director,actors,description
1102,Bubble Guppies,2011.0,7.6,https://www.themoviedb.org/tv/39107,https://image.tmdb.org/t/p/w500/zJ50jTHpOY3wKmuxiONOL77t9DW.jpg,"Animation,Family,Kids","Jonny Belt, Robert Scull","Brianna Gentilella, Josiah Gaffney, Quinn Breslin, Zoe Glick, Mia Lynn Bangunan","The adventures of seven fish-tailed kids- Molly, Gil, Oona, Deema, Nonny, Goby, and Zooli!"
1103,Harrow,2018.0,7.6,https://www.themoviedb.org/tv/77947,https://image.tmdb.org/t/p/w500/z0H4iQBe1YL9I8pZF5jRifcF369.jpg,"Crime,Drama,Mystery","Stephen M. Irwin, Leigh McGrath","Ioan Gruffudd, Jolene Anderson, Darren Gilshenan, Damien Garvey, Ella Newton","When a dark secret from this past threatens to be exposed, unorthodox and brilliant medical examiner, Doctor Daniel Harrow, must use all his forensic skills to keep it buried forever."
1105,9 End 2 Outs,2007.0,7.6,https://www.themoviedb.org/tv/38854,https://image.tmdb.org/t/p/w500/u1ToG0tmD4M2DBn32oayRmFdWRl.jpg,"Romance,Comedy",Not specified,"Soo Ae, Lee Jung-jin, Lee Tae-sung,  Hwang Ji-hyeon, Lee Sang-woo","9 End 2 Outs is a heartfelt and hilarious romantic comedy with a twist. Hong Nan Hee and Byun Hyung Tae have been best friends for 30 years. They cook for each other, call each other daily, bicker like siblings, and support each other when things go wrong. But everything is about to change. On her 30th birthday, Nan Hee realizes that she needs to shake things up. Tired of living with her mother, she rents Hyung Tae's house while he is on vacation, but complications arise and soon the two friends are living in the house together. As the old friends navigate new territory, they begin to discover things they never knew about each other—he's neurotic, she snores—but more importantly, they begin to discover what their friends and family have always suspected—that, without realizing it, they've been the most important people to each other all along."
1106,Beating Again,2015.0,7.6,https://www.themoviedb.org/tv/62267,https://image.tmdb.org/t/p/w500/2BZknHHXDOUxE5qifjDRLMbaXq7.jpg,"Romance,Comedy,Drama",Not specified,"Jung Kyung-ho, Kim So-yeon, Yoon Hyun-min, Park Young-kyu, Ahn Suk-hwan","After his uncle's unjust takeover of the family company, Kang Min Ho grows up to be a successful, if not cynical investor who only cares about money. But when he undergoes a sudden heart transplant surgery, Min Ho literally has a change of heart when he inherits a warm and compassionate heart. In the midst of seeing the world anew, including falling for the kind Kim Soon Jung, Min Ho must mitigate his newfound personality with the demands of his cutthroat career."
1107,Hee Haw,1969.0,7.6,https://www.themoviedb.org/tv/3922,https://image.tmdb.org/t/p/w500/ancihtMDJGfkY3KkpBDfwXzrktg.jpg,Comedy,"Frank Peppiatt, John Aylesworth","Buck Owens, Roy Clark, Grandpa Jones, Donald Harron, Gordie Tapp","Hee Haw was an American variety show featuring a mixture of country music and comedy skits. Co-hosted by Buck Owens and Roy Clark for most of the series, the show also guested well-established country music stars including Johnny Cash and Dolly Parton. Originally airing on CBS from 1969 to 1971, the show ran for over 20 years in syndication until 1993."
1108,Mission: Impossible,1966.0,7.6,https://www.themoviedb.org/tv/4357,https://image.tmdb.org/t/p/w500/1PnUBKbDR1F2w5qicblLg1QGTif.jpg,"Crime,Drama,Action&Adventure",Bruce Geller,"Peter Graves, Greg Morris, Peter Lupus, Lynda Day George, Bob Johnson","Mission: Impossible is an American television series that was created and initially produced by Bruce Geller. It chronicles the missions of a team of secret government agents known as the Impossible Missions Force. In the first season, the team is led by Dan Briggs, played by Steven Hill; Jim Phelps, played by Peter Graves, takes charge for the remaining seasons. A hallmark of the series shows Briggs or Phelps receiving his instructions on a recording that then self-destructs, followed by the theme music composed by Lalo Schifrin.

The series aired on the CBS network from September 1966 to March 1973, then returned to television for two seasons on ABC, from 1988 to 1990, retaining only Graves in the cast. It later inspired a popular series of theatrical motion pictures starring Tom Cruise, beginning in 1996."
1109,Live PD,2016.0,7.6,https://www.themoviedb.org/tv/68430,https://image.tmdb.org/t/p/w500/2I2KNf7jZhtkuVVTCqdIgGiNmlI.jpg,"Crime,Reality,Documentary",Not specified,"Dan Abrams, Sean Larkin, Tom Morris",Dash cams capture footage from urban and rural police forces while on the job. A live look inside the everyday calls of police officers across the nation.
1110,The Borgias,2011.0,7.6,https://www.themoviedb.org/tv/33025,https://image.tmdb.org/t/p/w500/y6CHDkNDhswuaqwQEC0wgC7MMox.jpg,"Crime,Drama",Neil Jordan,"Jeremy Irons, François Arnaud, Holliday Grainger, Joanne Whalley, Colm Feore","Set in 15th century Italy at the height of the Renaissance, The Borgias chronicles the corrupt rise of patriarch Rodrigo Borgia to the papacy, where he proceeds to commit every sin in the book to amass and retain power, influence and enormous wealth for himself and his family."
1111,Unwrapped,2001.0,7.6,https://www.themoviedb.org/tv/8862,https://image.tmdb.org/t/p/w500/eBczFgfRwVIPVCulTZUkBGE3ae2.jpg,Documentary,Not specified,Marc Summers,"Unwrapped is an American television program on Food Network that reveals the origins of sponsored foods. It first aired in June 2001 and is hosted by Marc Summers. The show leads viewers on tours of factories and other food-related locations. Popular subjects include candy, breakfast cereal, snacks, and TV dinners. The show's spin-off, Trivia Unwrapped, is a game show also hosted by Marc Summers."
1112,Storyville,1997.0,7.6,https://www.themoviedb.org/tv/36695,https://image.tmdb.org/t/p/w500/zLOvaj0zL70g2rxctAnLO3kMw0W.jpg,Documentary,Not specified,Not specified,"Showcasing the best in international documentaries, Storyville has developed an enviable reputation since its inception more than a decade ago. Screening over 340 films, from some 70 different countries, the strand has garnered a staggering array of awards: five Oscars, 15 Griersons, three Peabodys and two International Emmys. In true, unique, Storyville style, the new series promises to deliver the strand's usual eclectic mix of compelling stories from across the globe."
1113,Magnum P.I.,2018.0,7.6,https://www.themoviedb.org/tv/79593,https://image.tmdb.org/t/p/w500/hN7DKusbmKPqSZnMG5hemioMAiE.jpg,"Crime,Drama,Action&Adventure","Peter M. Lenkov, Eric Guggenheim","Jay Hernandez, Perdita Weeks, Zachary Knighton, Stephen Hill, Tim Kang","Thomas Magnum, a decorated former Navy SEAL, returns home from Afghanistan and applies his military skills to become a private investigator in Hawaii taking jobs no one else will—with the help of fellow vets T.C. Calvin and Rick Wright, and former MI:6 agent, Juliet Higgins."
1114,Emergency Interrogation Room,2014.0,7.6,https://www.themoviedb.org/tv/65322,https://image.tmdb.org/t/p/w500/75rzFIK6CgUdwsfungprVkqKA7A.jpg,Crime,Not specified,"Yuki Amami, Tetsushi Tanaka, Mokomichi Hayami, Denden, Ren Osugi","Yukiko Makabe works at the #3 Special Investigation Team of the Metropolitan Police Department. She has excellent negotiation skills. Yukiko then attempts to negotiate with a hijacker on a bus, but something unexpected happens and her mission fails. Yukiko takes full responsibility and takes a transfer to a special interrogation team ""Kintori"". Her boss is Katsutoshi Kajiyama and Yukiko has had a difficult working relationship with him in the past. Her other coworkers include Susumu Hishimoto, Zenjiro Nakata and Haruo Koishikawa."
1116,The Lost Station Girls,2025.0,7.595,https://www.themoviedb.org/tv/237052,https://image.tmdb.org/t/p/w500/282rRZ3wKntv82FPZ3qMnAsNMkV.jpg,"Crime,Drama",Gaëlle Bellan,"Hugo Becker, Patrick Timsit, Mélanie Doutey, Kévin Azaïs, Camille Razat","Between 1995 and 2001 in southern France, a teenage girl vanishes and three young women are murdered—sparking a relentless manhunt that will haunt detective Flore Robin and the Perpignan police for years."
1117,The Persuaders!,1971.0,7.594,https://www.themoviedb.org/tv/2543,https://image.tmdb.org/t/p/w500/jDzoUNUwVKIPMaf67wAg4Nby3oo.jpg,"Crime,Comedy,Action&Adventure",Robert S. Baker,"Tony Curtis, Roger Moore",An English aristocrat and an American millionaire come together to tackle crime.
1118,How It's Made,2001.0,7.592,https://www.themoviedb.org/tv/1749,https://image.tmdb.org/t/p/w500/jO3DKZyiEWQsEE6ji7IXwobDnl8.jpg,Documentary,Gabriel Hoss,Not specified,"Have you ever wondered how the products you use every day are made? How It's Made leads you through the process of how everyday products, such as apple juice, skateboards, engines, contact lenses, and many more objects are manufactured."
1119,Unprincipled,2020.0,7.591,https://www.themoviedb.org/tv/105276,https://image.tmdb.org/t/p/w500/uCWVJOIEPSieYZnWy7w8LBG5SU1.jpg,Comedy,Aleksandr Tsypkin,"Pavel Derevyanko, Pavel Tabakov, Anna Slyu, Aglaya Tarasova, Nikolay Fomenko","Collection of satirical sketches, telling about the decent inhabitants of the Patriarchal Ponds and their obscene stories. The series includes touching, outrageous and full of love intimate stories that are not accepted to speak out loud."
1120,Queen of the South,2016.0,7.587,https://www.themoviedb.org/tv/66676,https://image.tmdb.org/t/p/w500/rzdC5EHkkKJE6OPVdh6gT1pR1c9.jpg,"Crime,Drama","M.A. Fortin, Joshua John Miller","Alice Braga, Hemky Madera, Peter Gadiot, Jamie Hector, Ryan O'Nan","Teresa flees Mexico after her drug-runner boyfriend is murdered. Settling in Dallas, she looks to become the country's reigning drug smuggler and to avenge her lover's murder."
1121,Paradise,2025.0,7.586,https://www.themoviedb.org/tv/245927,https://image.tmdb.org/t/p/w500/sJUti0JDtE1IYl7RVJARAGyKHqz.jpg,"Crime,Drama",Dan Fogelman,"Sterling K. Brown, Julianne Nicholson, Sarah Shahi, Nicole Brydon Bloom, Aliyah Mastin","The tranquility in a serene, wealthy community inhabited by some of the world's most prominent individuals explodes when a shocking murder occurs and a high stakes investigation unfolds."
1122,The Good Wife,2009.0,7.586,https://www.themoviedb.org/tv/1435,https://image.tmdb.org/t/p/w500/lasNCd45fpPLirlA7QxkuopWro.jpg,Drama,"Robert King, Michelle King","Julianna Margulies, Christine Baranski, Matt Czuchry, Alan Cumming, Cush Jumbo",Alicia Florrick boldly assumes full responsibility for her family and re-enters the workforce after her husband's very public sex and political corruption scandal lands him in jail.
1123,Manhunt,2017.0,7.583,https://www.themoviedb.org/tv/72597,https://image.tmdb.org/t/p/w500/9ukZcwaqcObmmxxfcIXTgVMvalJ.jpg,"Crime,Mystery","Andrew Sodroski, Jim Clemente, Tony Gittelson","Cameron Britton, Carla Gugino, Jack Huston, Arliss Howard, Ness Bautista","Inspired by actual events, this true crime anthology series takes a deep dive into the dark, twisted minds of terrorists and follows the brave souls who hunt them down."
1124,Leverage,2008.0,7.582,https://www.themoviedb.org/tv/7482,https://image.tmdb.org/t/p/w500/t5KJXooBqJLKUClpvYuSKNrcYGy.jpg,"Crime,Drama,Action&Adventure,Comedy","John Rogers, Chris Downey","Timothy Hutton, Gina Bellman, Christian Kane, Beth Riesgraf, Aldis Hodge","A five-person team comprised of a thief, a grifter, a hacker, and a retrieval specialist, led by former insurance investigator Nathan Ford, use their skills to fight corporate and governmental injustices inflicted on ordinary citizens."
1126,Maison Ikkoku,1986.0,7.581,https://www.themoviedb.org/tv/43018,https://image.tmdb.org/t/p/w500/6jN5iROb8bwm8RSjeKw4OXh93Xo.jpg,"Romance,Comedy,Animation",Not specified,"Issei Futamata, Sumi Shimamoto, Shigeru Chiba, Yuko Mita, Kazuyo Aoki","Godai is a ronin (someone who has failed university entrance exams) living in a run down apartment house called Maison Ikkoku. Among the other residents are the nosy Ichinose, the sexy Akemi Roppongi, and the mysterious Yotsuya. The others are given to having wild parties which makes it difficult for Godai to study. Into this mayhem comes the recently widowed Kyoko as the new live-in manager. Godai falls for her, but doesn't have the nerve to tell her. As time passes, their relationship slowly develops amid life at Maison Ikkoku, despite all sorts of romantic hurdles."
1129,Rosario Tijeras (Mexico),2016.0,7.579,https://www.themoviedb.org/tv/74428,https://image.tmdb.org/t/p/w500/q03eQL8AUx49lVH6IT3IlmWzhQu.jpg,"Crime,Drama",Not specified,Bárbara de Regil,Worlds collide when a vengeance-obsessed young woman from the other side of the tracks captures the attention of two well-off friends.
1134,Heart to Heart,2015.0,7.571,https://www.themoviedb.org/tv/61862,https://image.tmdb.org/t/p/w500/qUbRh0AOQDCwACYBErKC8KZHL36.jpg,"Romance,Comedy",Not specified,"Choi Kang-hee, Chun Jung-myung, Lee Jae-yoon, An So-hee, Uhm Hyo-seop","A young, sheltered woman disguises herself as an elderly cleaning lady when she's reintroduced into the world after years of seclusion."
1136,The Deuce,2017.0,7.57,https://www.themoviedb.org/tv/65817,https://image.tmdb.org/t/p/w500/tKFUwmue5g45rthZOyYWd7l931y.jpg,"Crime,Drama","David Simon, George Pelecanos","James Franco, Maggie Gyllenhaal, Chris Bauer, Chris Coy, Lawrence Gilliard Jr.","The story of the legalization and subsequent rise of the porn industry in New York’s Times Square from the early ’70s through the mid ’80s, exploring the rough-and-tumble world that existed there until the rise of HIV, the violence of the cocaine epidemic and the renewed real estate market ended the bawdy turbulence of the area."
1137,The Middle,2009.0,7.569,https://www.themoviedb.org/tv/1422,https://image.tmdb.org/t/p/w500/juK49EV9pFGVITn04A58rrqvLXq.jpg,Comedy,"Eileen Heisler, DeAnn Heline","Patricia Heaton, Neil Flynn, Charlie McDermott, Eden Sher, Atticus Shaffer","The daily mishaps of a married woman and her semi-dysfunctional family and their attempts to survive life in general in the city of Orson, Indiana."
1139,American Crime Story,2016.0,7.567,https://www.themoviedb.org/tv/64513,https://image.tmdb.org/t/p/w500/dtIS3Qk8ny1FWQLiuJ77MTDX5bZ.jpg,"Crime,Drama","Larry Karaszewski, Scott Alexander, Tom Rob Smith, Sarah Burgess","Sarah Paulson, Beanie Feldstein, Annaleigh Ashford, Margo Martindale, Edie Falco",An anthology series centered around some of history's most famous criminal investigations.
1143,Cheers,1982.0,7.562,https://www.themoviedb.org/tv/141,https://image.tmdb.org/t/p/w500/nD1ZQBKbgKSmKcrAkWTofohsScj.jpg,Comedy,"Les Charles, James Burrows, Glen Charles","Ted Danson, Kirstie Alley, Rhea Perlman, George Wendt, John Ratzenberger",The story about a blue-collar Boston bar run by former sports star Sam Malone and the quirky and wonderful people who worked and drank there.
1144,Full House,1987.0,7.561,https://www.themoviedb.org/tv/4313,https://image.tmdb.org/t/p/w500/7g0EyKsIaYjYw3gCIBKMHHE0Kcu.jpg,"Comedy,Family",Jeff Franklin,"John Stamos, Bob Saget, Dave Coulier, Candace Cameron Bure, Jodie Sweetin","After the death of his wife, Danny enlists his best friend and his brother-in-law to help raise his three daughters, D.J., Stephanie, and Michelle."
1145,Goliath,2016.0,7.56,https://www.themoviedb.org/tv/67384,https://image.tmdb.org/t/p/w500/b7ygC3GRaq4xc0nkWdGnydtMfvD.jpg,"Crime,Drama","Jonathan Shapiro, David E. Kelley","Billy Bob Thornton, Nina Arianda, Tania Raymonde, Diana Hopper, Bruce Dern","Once a powerful lawyer, Billy McBride is now burned out and washed up, spending more time in a bar than a courtroom. When he reluctantly agrees to pursue a wrongful death lawsuit against the biggest client of Cooperman &amp; McBride, the massive law firm he helped create, Billy and his ragtag team uncover a vast and deadly conspiracy, pitting them all in a life or death trial against the ultimate Goliath."
1146,Everwood,2002.0,7.559,https://www.themoviedb.org/tv/1950,https://image.tmdb.org/t/p/w500/4zmuA2Ql1QdUtw9OM6MdmtXnZEF.jpg,"Drama,Family",Greg Berlanti,"Treat Williams, Gregory Smith, Emily VanCamp, Debra Mooney, John Beasley","After the death of his wife, world-class neurosurgeon Dr. Andrew Brown leaves Manhattan and moves his family to the small town of Everwood, Colorado. There he becomes a small-town doctor and learns parenting on the fly as he raises his talented but resentful 15-year-old son Ephram and his 9-year-old daughter Delia."
1148,Due South,1994.0,7.558,https://www.themoviedb.org/tv/1527,https://image.tmdb.org/t/p/w500/zspyArCSKZj8bykYUdNYdhQBirI.jpg,"Crime,Drama,Comedy",Paul Haggis,"Paul Gross, Beau Starr, Callum Keith Rennie, Tony Craig, Camilla Scott","Constable Benton Fraser, an officer of the Royal Canadian Mounted Police, is attached to the Canadian consulate but works with Chicago Police Department to solve crimes."
1149,The Golden Girls,1985.0,7.552,https://www.themoviedb.org/tv/1678,https://image.tmdb.org/t/p/w500/1qoHn5J0Qclte98j1olNbOQOXVz.jpg,Comedy,Susan Harris,"Bea Arthur, Betty White, Rue McClanahan, Estelle Getty","Four Southern Florida seniors share a house, their dreams, and a whole lot of cheesecake. Bright, promiscuous, clueless and hilarious, these lovely, mismatched ladies form the perfect circle of friends."
1150,Sin senos sí hay paraíso,2016.0,7.55,https://www.themoviedb.org/tv/67335,https://image.tmdb.org/t/p/w500/7lBJ6lOS0uQqsH13U9iMTikawQS.jpg,"Crime,Drama,Action&Adventure,Mystery",Gustavo Bolívar,"Carmen Villalobos, Carolina Gaitán, Juan Pablo Urrego, Catherine Siachoque, Fabián Ríos",A young woman born in a mafia-controlled town seeks revenge on those who wrongfully harmed and imprisoned her family.
1153,Aqua Teen Hunger Force,2000.0,7.548,https://www.themoviedb.org/tv/251,https://image.tmdb.org/t/p/w500/jCWOkfMLsT2sGHadCkmR65MWtJu.jpg,"Comedy,Animation","Matt Maiellaro, Dave Willis","Dana Snyder, Carey Means, Dave Willis","The surreal adventures of three anthropomorphic fast food items: Master Shake, Frylock and Meatwad, and their human nextdoor neighbor, Carl Brutananadilewski."
1156,Private Practice,2007.0,7.544,https://www.themoviedb.org/tv/3172,https://image.tmdb.org/t/p/w500/pW20ANAGdrgreYJExduUVaWos6H.jpg,Drama,Shonda Rhimes,"Kate Walsh, Paul Adelstein, KaDee Strickland, Caterina Scorsone, Taye Diggs","Having left behind Seattle Grace Hospital, renowned surgeon Addison Forbes Montgomery moves to Los Angeles for sunnier weather and happier possibilities. She reunites with her friends from medical school, joining them at their chic, co-op, Oceanside Wellness Center in Santa Monica."
1159,The Good Fight,2017.0,7.539,https://www.themoviedb.org/tv/69158,https://image.tmdb.org/t/p/w500/8qoOHOfbUbrCcHZnDVxGcwOWinV.jpg,Drama,"Michelle King, Robert King, Phil Alden Robinson","Christine Baranski, Audra McDonald, Sarah Steele, Nyambi Nyambi, Michael Boatman","Picking up one year after the events of the final broadcast episode of ""The Good Wife"", an enormous financial scam has destroyed the reputation of a young lawyer, Maia Rindell, while simultaneously wiping out her mentor and godmother Diane Lockhart's savings. Forced out of her law firm, now called ""Lockhart, Deckler, Gussman, Lee, Lyman, Gilbert, Lurie, Kagan, Tannebaum & Associates"", they join Lucca Quinn at one of Chicago's preeminent law firms."
1160,Bad Girls,1999.0,7.539,https://www.themoviedb.org/tv/2850,https://image.tmdb.org/t/p/w500/vlYanINWRod3cKUyV4evJJsq1xW.jpg,"Crime,Drama","Maureen Chadwick, Ann McManus","Victoria Alcock, Kika Mirylees, Helen Fraser, Antonia Okonma, Nicola Stapleton","Bad Girls is a British television drama series that was broadcast on ITV from 1 June 1999 to 20 December 2006 and starred Simone Lahbib, Mandana Jones, Debra Stephenson, Linda Henry, Jack Ellis and many more throughout the eight-year run. The series was broadcast in 17 countries and was produced by Shed Productions, the company which later produced Footballers' Wives and Waterloo Road. It is set in the fictional women's prison of Larkhall, and features a mixture of serious and light storylines focusing on the prisoners and staff of G Wing. From 2010, the UK broadcast rights were bought by CBS Drama, and is repeated regularly – as of September 2012, the channel is re-running the series again in a late-night time slot."
1163,High School King of Savvy,2014.0,7.536,https://www.themoviedb.org/tv/61543,https://image.tmdb.org/t/p/w500/uK1IWTfxRCupgJL3Nn3g5G4plr4.jpg,"Romance,Comedy,Drama",Not specified,"Seo In-guk, Lee Ha-na, Lee Soo-hyuk, Lee Tae-hwan, Kang Ki-young","Lee Min Suk is just a normal high school hockey player - until he's forced to take his brother's place as the director for a major company. Now he's forced to balance school work, hockey practice, and making multi-million dollar decisions. No big deal?"
1168,Top Gear,2002.0,7.529,https://www.themoviedb.org/tv/45,https://image.tmdb.org/t/p/w500/aqM6QnuhSXzjHlKbXyKUqxaGiWu.jpg,"Talk,Reality","Jeremy Clarkson, Andy Wilman","Chris Harris, Paddy McGuinness, Andrew Flintoff","This fast-paced and stunt-filled motor show tests whether cars, both mundane and extraordinary, live up to their manufacturers' claims. The long-running show travels to locations around the world, performing extreme stunts and challenges to see what the featured cars are capable of doing. The current hosts are Paddy Mcguinness, Chris Harris and Andrew ""Freddie"" Flintoff."
1170,Superstore,2015.0,7.528,https://www.themoviedb.org/tv/62649,https://image.tmdb.org/t/p/w500/2tpY5qIYwH85njvjI5BnH4VNA6p.jpg,Comedy,Justin Spitzer,"Ben Feldman, Lauren Ash, Colton Dunn, Nico Santos, Nichole Sakura","A hilarious workplace comedy about a unique family of employees at a super-sized mega store. From the bright-eyed newbies and the seen-it-all veterans to the clueless summer hires and the in-it-for-life managers, together they hilariously tackle the day-to-day grind of rabid bargain hunters, riot-causing sales and nap-worthy training sessions."
1172,El Chapo,2017.0,7.524,https://www.themoviedb.org/tv/71411,https://image.tmdb.org/t/p/w500/3FzlvQ5Ea35Zdz71Ye7JSvB6VdB.jpg,"Crime,Drama","Silvana Aguirre Zegarra, Daniel Posada, Carlos Contreras, Ernesto Contreras, José Manuel Cravioto","Marco de la O, Valentina Acosta, Juan Carlos Olivas, Humberto Busto, Alejandro Aguilar","A look at the life of notorious drug kingpin, El Chapo, from his early days in the 1980s working for the Guadalajara Cartel, to his rise to power of during the '90s and his ultimate downfall in 2016."
1178,The Fall Guy,1981.0,7.522,https://www.themoviedb.org/tv/5031,https://image.tmdb.org/t/p/w500/gV8CB9WbCclGCENBkxoKXYnwh28.jpg,"Crime,Action&Adventure",Glen A. Larson,"Lee Majors, Douglas Barr, Heather Thomas, Markie Post, Jo Ann Pflug",Hollywood stuntman Colt Seavers picks up some extra pocket money by using his rough-and-tumble skills to track and capture bail jumpers.
1180,Undercover,2019.0,7.521,https://www.themoviedb.org/tv/86942,https://image.tmdb.org/t/p/w500/ziOJNiNUbomrs81behksd0z9Qoz.jpg,"Crime,Drama","Piet Matthys, Bart Uytdenhouwen, Nico Moolenaar","Tom Waes, Frank Lammers, Elise Schaap, Jeroen Van der Ven, Ruth Becquart",Undercover agents infiltrate a drug kingpin's operation by posing as a couple at the campground where he spends his weekends. Inspired by real events.
1183,Bad Sisters,2022.0,7.514,https://www.themoviedb.org/tv/199318,https://image.tmdb.org/t/p/w500/z63D1Y8udrrFOhLFCT9YElcTr0w.jpg,"Crime,Drama","Sharon Horgan, Dave Finkel, Brett Baer","Sharon Horgan, Eva Birthistle, Sarah Greene, Eve Hewson, Owen McDonnell","The tight-knit Garvey sisters have always looked out for one another. But when the toxic brother-in-law they all wanted dead actually dies, it turns their lives upside down and tests their bond like nothing before."
1185,Without Breasts There Is No Paradise,2008.0,7.513,https://www.themoviedb.org/tv/5451,https://image.tmdb.org/t/p/w500/pSsQ5rFalyT7ehwgeSlITgBSi5S.jpg,"Crime,Drama,Action&Adventure",Gustavo Bolívar,"Carmen Villalobos, Maria Fernanda Yepes, Fabián Ríos, Catherine Siachoque, Juan Diego Sánchez","The tragic story of Catalina Santana, whose ambition is so strong that she will risk her life due to her obsession with having bigger breasts to attract drug lords and have all the luxuries in the world."
1186,Judging Amy,1999.0,7.512,https://www.themoviedb.org/tv/2026,https://image.tmdb.org/t/p/w500/5Znl8HNStdoHHy0hqdljpDZnVRn.jpg,Drama,"Amy Brenneman, Bill D'Elia","Amy Brenneman, Richard T. Jones, Dan Futterman, Jessica Tuck, Marcus Giamatti","Judging Amy is an American television drama that was telecast from September 19, 1999, through May 3, 2005, on CBS-TV. This TV series starred Amy Brenneman and Tyne Daly. Its main character is a judge who serves in a family court, and in addition to the family-related cases that she adjudicates, many episodes of the show focus on her own experiences as a divorced mother, and on the experiences of her mother, a social worker who works in the field of child welfare. This series was based on the life experiences of Brenneman's mother."
1187,NCIS: Origins,2024.0,7.51,https://www.themoviedb.org/tv/243006,https://image.tmdb.org/t/p/w500/waWeC84DExojP5AHFbWaybj3wxv.jpg,"Crime,Drama","Gina Lucita Monreal, David J. North","Austin Stowell, Kyle Schmid, Mariel Molino, Tyla Abercrumbie, Diany Rodriguez","In 1991, years prior to the events of NCIS, Leroy Jethro Gibbs starts his career as a newly minted special agent at the fledgling NCIS Camp Pendleton office, where he forges his place on a gritty, ragtag team led by NCIS legend Mike Franks."
1188,Silent Witness,1996.0,7.51,https://www.themoviedb.org/tv/2750,https://image.tmdb.org/t/p/w500/yRwf0yAZvYMfFLMonPusv6F256s.jpg,"Crime,Drama",Nigel McCrery,"Emilia Fox, David Caves, Maggie Steed, Francesca Mills",A team of exceptional forensic pathologists and scientists investigate heinous crimes and use their skills to catch the people responsible.
1191,The Angry Video Game Nerd,2004.0,7.5,https://www.themoviedb.org/tv/14188,https://image.tmdb.org/t/p/w500/h5s62a2ctgCWAcnPw8oOpks6PJE.jpg,"Comedy,Documentary",James D. Rolfe,James D. Rolfe,"The Angry Video Game Nerd is an adult web television series of comedic retrogaming video reviews created by and starring James Rolfe. The show's format revolves around his commentary and review of older, but unsuccessful video games which are deemed to be of particularly low-quality, unfair difficulty or poor design.

The series began as a feature on YouTube and later became a program on ScrewAttack Entertainment before moving to GameTrailers exclusively. The show was renamed The Angry Video Game Nerd to prevent any trademark issues with Nintendo and due to the fact he started reviewing games from non-Nintendo consoles such as those made by Atari and Sega.

Rolfe's character, ""The Nerd"" is a short-tempered and foul-mouthed video game fanatic. He derives comic appeal from excessive and inventive use of anger, profanity, and habitual consumption of alcohol while reviewing video games."
1192,Mission: Yozakura Family,2024.0,7.5,https://www.themoviedb.org/tv/216467,https://image.tmdb.org/t/p/w500/dTtXbR0DenriganfBidZxFLk4Xx.jpg,"Comedy,Action&Adventure,Animation",Not specified,"Reiji Kawashima, Kaede Hondo, Katsuyuki Konishi, Akari Kito, Aoi Yuuki","Taiyo Asano has been on his own ever since his parents died and the only one who seems to care for him is his childhood friend and classmate, Mutsumi Yozakura. But Mutsumi has a secret—she is the head of a family of spies! And on top of that, her brother Kyoichiro is dangerously protective of her! To stop Kyoichiro from killing him, Taiyo and Mutsumi must take the ultimate leap—marriage! Because in the Yozakura family, family cannot kill family."
1193,The Bob Newhart Show,1972.0,7.5,https://www.themoviedb.org/tv/1974,https://image.tmdb.org/t/p/w500/cPI10fZ2c896h5pAc1oP6TrOW0G.jpg,Comedy,Lorenzo Music,"Bob Newhart, Suzanne Pleshette, Bill Daily, Marcia Wallace, Peter Bonerz","The Bob Newhart Show is an American situation comedy produced by MTM Enterprises, which aired 142 original episodes on CBS from September 16, 1972, to April 1, 1978. Comedian Bob Newhart portrays a psychologist having to deal with his patients and fellow office workers. The show was filmed before a live audience."
1195,The Dick Van Dyke Show,1961.0,7.5,https://www.themoviedb.org/tv/2132,https://image.tmdb.org/t/p/w500/w2Tcx36ybQEczP5zkUhPwaehgeL.jpg,Comedy,Carl Reiner,"Dick Van Dyke, Mary Tyler Moore, Rose Marie, Morey Amsterdam, Larry Mathews","The Dick Van Dyke Show centers around the work and home life of television comedy writer Rob Petrie. The plots generally revolve around problems at work, where Rob got into various comedic jams with fellow writers Buddy Sorrell, Sally Rogers and producer Mel Cooley."
1196,Weeds,2005.0,7.5,https://www.themoviedb.org/tv/186,https://image.tmdb.org/t/p/w500/gKUsBTa5b0GY7U4iWBseeBalfjO.jpg,"Crime,Comedy,Drama",Jenji Kohan,"Mary-Louise Parker, Justin Kirk, Hunter Parrish, Alexander Gould, Kevin Nealon","After the unexpected death of her husband, a suburban mom resorts to selling weed to support her family."
1197,Golden Kamuy,2018.0,7.5,https://www.themoviedb.org/tv/76757,https://image.tmdb.org/t/p/w500/KjatL82mrWDogOlswIxwdrpe2n.jpg,"Comedy,Action&Adventure,Animation",Not specified,"Chikahiro Kobayashi, Haruka Shiraishi, Takayuki Sugo, Kentaro Ito, Yoshimasa Hosoya","A Russo-Japanese War veteran partners with an Ainu girl to find a treasure stolen from her people, but they’re not the only ones pursuing the gold."
1199,Match of the Day,1964.0,7.5,https://www.themoviedb.org/tv/224,https://image.tmdb.org/t/p/w500/paRFRd11WlFOxVbGnzjjCBym7FW.jpg,"News,Talk",Not specified,Not specified,"BBC's football highlights and analysis.

""The longest-running football television programme in the world"" as recognised by Guinness World Records in 2015."
