name,year,vote_average,page_url,image_url,genres,director,actors,description
Adventure Time: Fionna & Cake,2023,8.7,https://www.themoviedb.org/tv/131378,https://image.tmdb.org/t/p/original/fi1b6U1kp73xheECzqwzMn8u3mX.jpg,"Animation, Sci-Fi & Fantasy, Action & Adventure, Comedy",Adam Muto,"Madeleine Martin, Roz Ryan, Ashly Burch","Fionna and Cake – with the help of the former Ice King, Simon Petrikov - embark on a multiverse-hopping adventure and journey of self-discovery. All the while a powerful new antagonist determined to track them down and erase them from existence, lurks in the shadows."
"Sabrina, the Teenage Witch",1996,7.805,https://www.themoviedb.org/tv/605,https://image.tmdb.org/t/p/original/nNhj3coHNVVJPVM7fm5PEYVTCMO.jpg,"Comedy, Family, Sci-Fi & Fantasy",Nell Scovell,"Melissa Joan Hart, Elisa Donovan, Soleil Moon Frye, Nick Bakay","On her sixteenth birthday, Sabrina Spellman discovers she has magical powers. She lives with her 600-year-old aunts Hilda and Zelda as well as talking cat Salem in the fictional town of Westbridge, Massachusetts."
Throne of Seal,2022,8.7,https://www.themoviedb.org/tv/198182,https://image.tmdb.org/t/p/original/ehRRWs1EfeYiX4ysLLapWeKG4Pq.jpg,"Animation, Action & Adventure, Drama, Sci-Fi & Fantasy",Tang Jia San Shao,"Chang Rongshan, Shen Nianru, Liu Mingyue, Ye Zhiqiu, Sheng Feng","Six thousand years ago, the Demon God appeared and creatures were turned into demons. The mankind created six Temples to fight the demons. Long Haochen joins the Knights Temple. As he grows, an adventure unfolds. He wins the recognition of others and fights with the Six Temples against the demons for the sake of human beings. He sacrifices himself to protect the people. Could Long win the Throne of Seal and be granted the highest honor in the Knights' Temple? All remained to be revealed."
Courage the Cowardly Dog,1999,8.182,https://www.themoviedb.org/tv/2085,https://image.tmdb.org/t/p/original/dzD8EWDvtg7rBCINu0RCH5EUejh.jpg,"Animation, Family, Sci-Fi & Fantasy, Comedy, Kids",John R. Dilworth,"Marty Grabstein, Thea White, Simon Prebble, Billie Lou Watt, Paul Schoeffler","The bizarre misadventures of a cowardly dog named Courage and his elderly owners in a farmhouse in Nowhere, Kansas."
Snowpiercer,2020,7.4,https://www.themoviedb.org/tv/79680,https://image.tmdb.org/t/p/original/exKzfiKzMdQBHrdd7zNmKauJkbg.jpg,"Sci-Fi & Fantasy, Drama","Graeme Manson, Josh Friedman","Daveed Diggs, Mickey Sumner, Alison Wright, Iddo Goldberg, Roberto Urbina","More than seven years after the world has become a frozen wasteland, the remnants of humanity inhabit a gigantic, perpetually-moving train that circles the globe as class warfare, social injustice and the politics of survival play out."
3rd Rock from the Sun,1996,7.487,https://www.themoviedb.org/tv/155,https://image.tmdb.org/t/p/original/sUB4lZghNnwQywKqgjIfJsyBqI2.jpg,"Family, Sci-Fi & Fantasy, Comedy, Drama","Bonnie Turner, Terry Turner","John Lithgow, Kristen Johnston, Jane Curtin, Joseph Gordon-Levitt, French Stewart","The high commander of an alien expedition lands on Earth -- what he considers to be the least-important planet -- in human form as Dick Solomon. Along for the ride are his alien compatriots Harry, Sally and Tommy -- who is the eldest of the group but is now angrily trapped in a teen's body."
Xena: Warrior Princess,1995,7.522,https://www.themoviedb.org/tv/4616,https://image.tmdb.org/t/p/original/qjUn6GVZVDifLHB7bvVrgZsOfzE.jpg,"Drama, Action & Adventure, Sci-Fi & Fantasy","Robert Tapert, John Schulian","Lucy Lawless, Renée O'Connor","Xena is an infamous warrior on a quest to seek redemption for her past sins against the innocent. Accompanied by her comrade-in-arms Gabrielle, the campy couple use their formidable fighting skills to help those who are unable to defend themselves."
Ancient Aliens,2010,6.977,https://www.themoviedb.org/tv/32608,https://image.tmdb.org/t/p/original/8yR1FK6z1Gx0pyvyXRJrvbxOyuU.jpg,"Documentary, Mystery, Sci-Fi & Fantasy",Kevin Burns,"Robert Clotworthy, Giorgio A. Tsoukalos, Ariel Bar Tzadok, Jonathan Young, David Childress","Did intelligent beings from outer space visit Earth thousands of years ago? From the age of the dinosaurs to ancient Egypt, from early cave drawings to continued mass sightings in the US, each episode gives historic depth to the questions, speculations, provocative controversies, first-hand accounts and grounded theories surrounding this age old debate."
Inazuma Eleven,2008,8.009,https://www.themoviedb.org/tv/42912,https://image.tmdb.org/t/p/original/9kQWvBMPWz1gykKLXuX6JBjC9uQ.jpg,"Animation, Sci-Fi & Fantasy",,"Yuka Terasaki, Takashi Ohara, Mitsuki Saiga, Yu Kobayashi, Aya Endo","Mamoru Endou is a cheerful goalkeeper in Raimon Jr High, with six other players in the team. But there was a day when the team was almost lead to disbandment by Natsumi unless they are able to win the match against the Teikoku Gakuen, currently the best team in Japan. He tried to save the club by gathering four more players to join the team."
Date A Live,2013,8.317,https://www.themoviedb.org/tv/46004,https://image.tmdb.org/t/p/original/ylCuI1UK38lXkGGykHsDnC974EP.jpg,"Animation, Sci-Fi & Fantasy, Comedy, Action & Adventure",,"Nobunaga Shimazaki, Marina Inoue, Misuzu Togashi, Ayana Taketatsu, Iori Nomizu","Thirty years ago a strange phenomenon called a ""spacequake"" devastated the center of Eurasia, claiming the lives of at least 150 million people. Since then, smaller spacequakes plague the world on an irregular basis. Shido Itsuka, a seemingly ordinary high schooler comes across a mysterious girl at the ground zero of a spacequake and learns she is one of the ""Spirits"" who are the real cause of the spacequakes that occur when they manifest themselves in the world. He is recruited to make use of his mysterious ability to seal the Spirits' powers thus stopping them from being a threat to mankind. However, there is a catch: to seal a Spirit's power, he must make her fall in love with him and kiss him."
